case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
555, 0.00409047, 1.16535e-05, 6.06244e-08, 5.81497e-08, 2.14581e-14, 1.68014e-12, 9.3544e-10, 5.04527e-15, 1.17732e-05, 1.20873e-12, 7.47636e-08, 5.4991, 0.984, 7.47636e-08, 274.74
570, 0.00143663, 1.07023e-05, 3.10286e-08, 2.04565e-08, 9.14288e-15, 8.40134e-13, 3.29879e-10, 1.34317e-15, 1.07541e-05, 3.21793e-13, 7.88872e-08, 6.54546, 0.984, 7.88872e-08, 267.273
585, 0.00282313, 1.00916e-05, 3.40379e-08, 4.01969e-08, 1.09055e-14, 9.79532e-13, 6.469e-10, 6.13433e-15, 1.01665e-05, 1.46965e-12, 8.31508e-08, 5.86991, 0.984, 8.31508e-08, 263.3
600, 0.00332486, 9.07417e-06, 2.59152e-08, 4.72608e-08, 5.45553e-15, 5.58632e-13, 7.5945e-10, 8.98426e-15, 9.14811e-06, 2.15242e-12, 8.74231e-08, 5.70633, 0.984, 8.74231e-08, 256.058
615, 0.00142776, 7.92198e-06, 1.16507e-08, 2.0229e-08, 1.06402e-15, 1.92937e-13, 3.25412e-10, 2.73463e-15, 7.95418e-06, 6.55156e-13, 9.19337e-08, 6.55165, 0.984, 9.19337e-08, 247.256
630, 5.6686e-05, 6.14576e-06, 7.56968e-10, 7.99356e-10, 7.01134e-18, 1.20668e-14, 1.28967e-11, 1.32401e-17, 6.14732e-06, 3.17202e-15, 9.64073e-08, 9.77798, 0.984, 9.64073e-08, 232.371
645, 3.56599e-11, 5.67971e-06, 9.42306e-12, 4.99767e-16, 5.1957e-22, 2.72181e-15, 8.09328e-18, 0, 5.67972e-06, 0, 1.01163e-07, 24.057, 0.984, 1.01163e-07, 229.27
660, 4.5035e-13, 5.71201e-06, 2.18846e-12, 6.26418e-18, 3.17608e-22, 2.42474e-15, 1.01481e-19, 0, 5.71201e-06, 0, 1.05821e-07, 28.4288, 0.984, 1.05821e-07, 231.05
675, 1.09008e-13, 5.57158e-06, 5.13076e-13, 1.5029e-18, 5.60378e-22, 2.70369e-15, 2.43684e-20, 0, 5.57158e-06, 0, 1.10646e-07, 29.8474, 0.984, 1.10646e-07, 231.189
690, 3.46266e-10, 5.14077e-06, 4.33922e-12, 4.72589e-15, 1.03021e-21, 3.95692e-15, 7.65052e-17, 0, 5.14078e-06, 0, 1.15578e-07, 21.7838, 0.984, 1.15578e-07, 228.474
705, 0.0001311, 5.41534e-06, 7.26387e-10, 1.76908e-09, 7.06764e-18, 1.64465e-14, 2.84789e-11, 1.18614e-16, 5.41786e-06, 2.84173e-14, 1.20484e-07, 8.93955, 0.984, 1.20484e-07, 232.805
720, 0.0136974, 6.90815e-06, 2.68047e-08, 1.82247e-07, 6.00266e-15, 5.66661e-13, 3.17306e-09, 3.83141e-13, 7.12038e-06, 8.36585e-11, 1.25673e-07, 4.29055, 0.982444, 1.25673e-07, 249.625
735, 0.0355575, 7.30407e-06, 5.84215e-08, 4.64801e-07, 3.53303e-14, 1.66081e-12, 9.81636e-09, 2.25233e-12, 7.83711e-06, 4.01124e-10, 1.30818e-07, 3.3366, 0.978476, 1.30818e-07, 256.899
750, 0.10054, 8.1086e-06, 1.37353e-07, 1.28996e-06, 3.09873e-13, 6.60639e-12, 3.09308e-08, 1.58296e-11, 9.56685e-06, 2.39521e-09, 1.36242e-07, 2.2972, 0.974667, 1.36242e-07, 271.127
765, 0.330889, 6.95599e-06, 3.13813e-07, 4.16317e-06, 4.56654e-12, 2.3283e-11, 9.34852e-08, 1.15757e-10, 1.15265e-05, 1.53043e-08, 1.41521e-07, 1.10597, 0.971007, 1.41521e-07, 285.473
780, 0.330926, 6.97485e-06, 3.21852e-07, 4.08389e-06, 5.21678e-12, 2.62542e-11, 1.01009e-07, 1.37357e-10, 1.14816e-05, 1.67491e-08, 1.47139e-07, 1.10586, 0.968564, 1.47139e-07, 286.546
795, 0.342894, 6.63256e-06, 3.34654e-07, 4.1486e-06, 6.47592e-12, 2.88763e-11, 1.07306e-07, 1.63111e-10, 1.12232e-05, 1.87361e-08, 1.52607e-07, 1.07034, 0.966629, 1.52607e-07, 286.326
810, 0.431633, 5.72772e-06, 3.89086e-07, 5.1153e-06, 1.22659e-11, 3.96144e-11, 1.25747e-07, 2.64128e-10, 1.13579e-05, 2.8735e-08, 1.58369e-07, 0.84018, 0.964765, 1.58369e-07, 288.596
825, 0.529483, 4.6498e-06, 4.42439e-07, 6.14118e-06, 2.20348e-11, 5.31439e-11, 1.36484e-07, 4.08524e-10, 1.137e-05, 4.22889e-08, 1.64215e-07, 0.635855, 0.96297, 1.64215e-07, 290.129
840, 0.54771, 4.33511e-06, 4.55945e-07, 6.22188e-06, 2.59248e-11, 6.01094e-11, 1.34188e-07, 4.54681e-10, 1.11472e-05, 4.68042e-08, 1.70098e-07, 0.60201, 0.962762, 1.70098e-07, 290.249
855, 0.510104, 4.54864e-06, 4.4668e-07, 5.68161e-06, 2.31284e-11, 6.17152e-11, 1.2491e-07, 4.12013e-10, 1.08019e-05, 4.44044e-08, 1.76093e-07, 0.673141, 0.964433, 1.76093e-07, 289.638
870, 0.569293, 3.86711e-06, 4.76563e-07, 6.21154e-06, 3.08717e-11, 7.44333e-11, 1.16172e-07, 4.89192e-10, 1.06715e-05, 5.52273e-08, 1.82171e-07, 0.563359, 0.966046, 1.82171e-07, 290.382
885, 0.530759, 4.10411e-06, 4.63086e-07, 5.66803e-06, 2.74921e-11, 7.54777e-11, 1.08165e-07, 4.33915e-10, 1.03435e-05, 5.13436e-08, 1.88331e-07, 0.633447, 0.967605, 1.88331e-07, 289.911
900, 0.62688, 3.09971e-06, 5.04582e-07, 6.54671e-06, 4.15459e-11, 9.62208e-11, 9.69238e-08, 5.6602e-10, 1.02481e-05, 7.02417e-08, 1.94678e-07, 0.467001, 0.969111, 1.94678e-07, 290.919
915, 0.591888, 3.30306e-06, 4.90526e-07, 6.03633e-06, 3.81981e-11, 9.75401e-11, 9.39571e-08, 5.23822e-10, 9.92401e-06, 6.69312e-08, 2.01166e-07, 0.524438, 0.97, 2.01166e-07, 290.494
930, 0.636501, 2.81206e-06, 4.94191e-07, 6.32857e-06, 4.66037e-11, 1.0935e-10, 8.8113e-08, 6.11117e-10, 9.72309e-06, 7.80852e-08, 2.07555e-07, 0.451769, 0.97, 2.07555e-07, 290.858
945, 0.621509, 2.84078e-06, 4.76779e-07, 6.02023e-06, 4.59418e-11, 1.11904e-10, 8.67415e-08, 6.13444e-10, 9.42468e-06, 7.83825e-08, 2.1418e-07, 0.475606, 0.97, 2.1418e-07, 290.597
960, 0.636918, 2.64227e-06, 4.72141e-07, 6.00625e-06, 5.06755e-11, 1.2085e-10, 8.32335e-08, 6.60773e-10, 9.20407e-06, 8.443e-08, 2.20979e-07, 0.451115, 0.97, 2.20979e-07, 290.839
975, 0.607725, 2.73543e-06, 4.49436e-07, 5.57553e-06, 4.7752e-11, 1.18876e-10, 8.16887e-08, 6.2639e-10, 8.84225e-06, 8.00368e-08, 2.27662e-07, 0.498033, 0.97, 2.27662e-07, 290.136
990, 0.657729, 2.09994e-06, 4.47053e-07, 5.86673e-06, 5.95467e-11, 1.31958e-10, 7.18537e-08, 7.4206e-10, 8.48577e-06, 9.48164e-08, 2.34685e-07, 0.418962, 0.97, 2.34685e-07, 289.434
1005, 0.540781, 2.36701e-06, 3.7322e-07, 4.68662e-06, 3.99596e-11, 1.03309e-10, 6.76341e-08, 5.50878e-10, 7.49463e-06, 7.03882e-08, 2.41692e-07, 0.614741, 0.97, 2.41692e-07, 284.11
1020, 0.434085, 2.29653e-06, 3.04084e-07, 3.65283e-06, 2.59608e-11, 7.40576e-11, 5.7994e-08, 3.96201e-10, 6.31154e-06, 5.06244e-08, 2.48618e-07, 0.834515, 0.97, 2.48618e-07, 276.66
1035, 0.329597, 2.33951e-06, 2.24316e-07, 2.69147e-06, 1.41288e-11, 4.76058e-11, 4.63476e-08, 2.44246e-10, 5.30171e-06, 3.12084e-08, 2.55968e-07, 1.10989, 0.97, 2.55968e-07, 269.686
